Year,Ticket,SignalID,Pattern,Direction,Source,Regime,Quality,Session,EngineName,EngineMode,DayType,Spread,Slippage,EntryTime,ExitTime,EntryPrice,ExitPrice,OriginalSL,OriginalTP1,TP2,RiskDistance,EntryRiskMoney,RiskPct,LotSize,HoldingHours,Result,PnL_Money,Total_PnL,Total_R,MAE_R,MFE_R,PartialCloseCount,PartialRealized_PnL,TP0_Closed,TP0_Lots,TrailInternalUpdates,TrailBrokerUpdates,TrailBrokerFailures,LastTrailReason,LastTrailKind,MaxLockedR,RunnerExitMode,RunnerManaged,RunnerPromotedInTrade,RunnerPromotionTime,TrailSendPolicy,LastTrailGateReason,EffectiveChandelierMult,LiveChandelierMult,EntryLockedChandelierMult,LastBrokerTrailTime,ExitRequestReason,ExitReason,Year_Gold_Return_Pct,Year_Gold_Range_Pct,Prev_24h_Return_Pct,Prev_72h_Return_Pct,Entry_Favorable_R_1h,Entry_Adverse_R_1h,Entry_Followthrough_1h,Entry_Favorable_R_4h,Entry_Adverse_R_4h,Entry_Followthrough_4h,Entry_Favorable_R_24h,Entry_Adverse_R_24h,Entry_Followthrough_24h,Entry_Favorable_R_48h,Entry_Adverse_R_48h,Entry_Followthrough_48h,Market_MFE_R_ToExit,Market_MAE_R_ToExit,Exit_Missed_R_4h,Exit_Protected_R_4h,Exit_Score_4h,Exit_Missed_R_24h,Exit_Protected_R_24h,Exit_Score_24h,Exit_Missed_R_48h,Exit_Protected_R_48h,Exit_Score_48h,EventCount,EventTypes,TopEventReason,AntiStallPartialCount,ExitRequestCount,ExitTriggerCount,HadBreakevenEvent,HadTrailingEvent,HadTrailingFailures,HadTP0Event,HadTP1Event,HadTP2Event,ReportExitComment,ReportExitType,CandidatePlugin,CandidateDecision,CandidateReason,CandidateQualityScore,CandidateATR,CandidateADX,CandidateMacroScore,RiskBasePct,RiskRequestedPct,RiskFinalPct,RiskCounterTrendReduced,RiskCounterTrendMultiplier,RiskExecutionOutcome,EntryGrade,EntryIssue,ExitGrade,ExitIssue,ManagementIssue,Verdict,SeverityScore
2021,108,2021.06.16 05:00|PinBarEntry|SHORT|295,Bearish Pin Bar,SHORT,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A_PLUS,ASIA,PinBarEntry,MODE_NONE,DAY_TREND,12.0,0.0,2021.06.16 05:00,2021.06.16 20:59,1853.69,1861.78,1861.69,1843.29,1839.29,8.0,114.05,1.05,0.14,16.0,LOSS,-113.68,-113.68,-1.0,1.0,0.1,0,0.0,NO,0.0,0,0,0,,none,0.0,RUNNER_EXIT_ENTRY_LOCKED,True,NO,,TRAIL_SEND_RUNNER_POLICY,ENTRY_RUNNER_MODE,3.5,3.5,3.5,,,,-4.249189395883854,14.796209672772608,-0.3591320616760964,-1.2152481664676884,0.05000000000001137,0.35249999999999204,12.422360248449925,0.05000000000001137,0.9112499999999955,5.201560468141588,6.295000000000016,1.1525000000000034,84.52500839207788,10.798750000000013,1.1525000000000034,90.35665725342537,0.1150000000000091,1.1525000000000034,7.306250000000006,0.020000000000010232,0.27299095717468264,11.810000000000002,0.020000000000010232,0.1690617075233323,11.810000000000002,0.020000000000010232,0.1690617075233323,3,ENTRY_OPENED:1|EXIT_FILL:1|RUNNER_MODE_ASSIGNED:1,Bearish Pin Bar,0,0,0,False,False,False,False,False,False,sl 1861.69,sl,PinBarEntry,WINNER,WINNER_IMMEDIATE_EXECUTION,10.0,9.29,44.1,-1.0,0.84,1.05,1.05,NO,1.0,EXECUTED,good,strong_followthrough,bad,premature_exit,none,bad_exit,5.734000000000009
2025,126,2025.05.14 05:00|PinBarEntry|SHORT|199,Bearish Pin Bar,SHORT,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A,ASIA,PinBarEntry,MODE_NONE,DAY_TREND,7.0,0.0,2025.05.14 05:00,2025.05.14 14:57,3239.04,3221.15,3252.5,3221.54,3214.81,13.460000000000036,121.16,1.05,0.09,10.0,WIN,152.31,152.31,1.26,0.36,1.28,1,9.43,YES,0.01,2,2,0,Chandelier Trail: SL=3250.50 (ATRx3.5),chandelier,0.0,RUNNER_EXIT_STANDARD,False,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.5,3.5,3.5,2025.05.14 09:00,,,64.54154727793696,73.75594403462782,0.4571152122608528,-2.6400973806410937,0.7132243684992484,0.17904903417532303,79.93338884263196,1.2786032689450215,0.17904903417532303,87.71661569826774,5.27563150074291,0.35289747399702726,93.7302006335797,8.786032689450181,0.9732540861812685,90.02740560292331,1.4517087667161894,0.35289747399702726,3.4264487369984966,0.09955423476966473,2.823430257057949,7.456909361069808,0.09955423476966473,1.3174712417655061,7.456909361069808,2.302377414561642,23.591656516443255,7,ENTRY_OPENED:1|EXIT_FILL:1|TP0_PARTIAL:1|TRAIL_BROKER_OK:2|TRAIL_INTERNAL:2,EVERY_UPDATE,0,0,0,False,True,False,True,False,False,tp 3221.54,tp,PinBarEntry,WINNER,WINNER_IMMEDIATE_EXECUTION,7.0,27.83,20.3,-1.0,0.84,1.05,1.05,NO,1.0,EXECUTED,good,strong_followthrough,bad,trailing_stop_too_tight,trailing,bad_exit,2.878618127786018
2022,154,2022.09.12 15:00|CrashBreakoutEntry|SHORT|333,Rubber Band Short (Death Cross),SHORT,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A_PLUS,NEWYORK,CrashBreakoutEntry,MODE_NONE,DAY_TREND,7.0,0.0,2022.09.12 15:00,2022.09.12 18:55,1729.66,1734.96,1734.94,1722.79,1720.15,5.279999999999973,20.93,0.2,0.03,3.9,LOSS,-6.99,-6.99,-0.33,1.0,1.11,1,3.67,YES,0.01,2,0,2,Chandelier Trail: SL=1724.98 (ATRx3.0),chandelier,0.89,RUNNER_EXIT_STANDARD,False,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.0,3.0,3.0,,,,-0.3512451997399837,24.881598138345826,0.7688499286483995,0.49841124155517824,0.48484848484852006,0.8049242424242465,37.59177679882684,1.11363636363639,1.035984848484859,51.8061674008814,1.8162878787879158,1.035984848484859,63.67861885790196,6.164772727272793,1.035984848484859,85.6128353498159,1.11363636363639,1.035984848484859,2.1174242424242653,0.01893939393937681,0.8865248226942313,7.168560606060669,0.01893939393937681,0.2635046113304583,7.168560606060669,0.01893939393937681,0.2635046113304583,7,ENTRY_OPENED:1|EXIT_FILL:1|TP0_PARTIAL:1|TRAIL_BROKER_FAIL:2|TRAIL_INTERNAL:2,EVERY_UPDATE,0,0,0,False,True,True,True,False,False,sl 1734.94,sl,CrashBreakoutEntry,WINNER,WINNER_IMMEDIATE_EXECUTION,10.0,8.92,21.6,3.0,0.8,0.4,0.2,YES,0.5,EXECUTED,bad,countertrend_short_vs_recent_uptrend,bad,trailing_stop_too_tight,trailing,bad_entry_bad_exit,3.590227272727322
2022,2,2022.01.05 17:00|CrashBreakoutEntry|SHORT|9,Rubber Band Short (Death Cross),SHORT,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A,NEWYORK,CrashBreakoutEntry,MODE_NONE,DAY_TREND,10.0,0.0,2022.01.05 17:00,2022.01.05 21:05,1825.86,1819.05,1830.98,1819.2,1816.64,5.120000000000118,45.0,0.45,0.08,4.1,WIN,51.02,51.02,1.13,0.17,1.28,1,3.56,YES,0.01,1,0,1,Chandelier Trail: SL=1823.05 (ATRx3.0),chandelier,0.55,RUNNER_EXIT_STANDARD,False,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.5,3.5,3.5,,,,-0.3512451997399837,24.881598138345826,0.7434062022263568,-0.13950053338438986,1.0605468749999436,0.12304687500001847,89.6039603960377,1.0605468749999436,0.12304687500001847,89.6039603960377,7.60546874999979,0.12304687500001847,98.40788476118243,8.441406249999766,0.12304687500001847,98.56328392246269,1.4277343749999565,0.12304687500001847,2.095703124999955,0.21484375000002168,9.298393913779561,6.275390624999832,0.21484375000002168,3.310261811616418,7.111328124999807,0.21484375000002168,2.932551319648458,5,ENTRY_OPENED:1|EXIT_FILL:1|TP0_PARTIAL:1|TRAIL_BROKER_FAIL:1|TRAIL_INTERNAL:1,Rubber Band Short (Death Cross),0,0,0,False,True,True,True,False,False,tp 1819.20,tp,CrashBreakoutEntry,WINNER,WINNER_IMMEDIATE_EXECUTION,7.0,7.7,25.3,2.0,0.8,0.9,0.45,YES,0.5,EXECUTED,good,strong_followthrough,bad,trailing_stop_too_tight,trailing,bad_exit,2.459023437499911
2021,16,2021.03.11 11:00|CrashBreakoutEntry|SHORT|83,Rubber Band Short (Death Cross),SHORT,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A,LONDON,CrashBreakoutEntry,MODE_NONE,DAY_TREND,19.0,0.0,2021.03.11 11:00,2021.03.11 13:42,1738.95,1731.96,1744.22,1732.1,1729.46,5.269999999999982,25.71,0.25,0.04,2.7,WIN,24.56,24.56,0.96,0.2,1.3,1,3.68,YES,0.01,1,0,1,Chandelier Trail: SL=1728.78 (ATRx3.5),chandelier,1.93,RUNNER_EXIT_STANDARD,False,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.5,3.5,3.5,,,,-4.249189395883854,14.796209672772608,1.3890184735958162,2.495328259754662,1.0588235294117978,0.16508538899428726,86.51162790697853,1.6337760910816237,0.16508538899428726,90.82278481012776,6.242884250474422,0.16508538899428726,97.42374888954726,7.540796963946897,0.16508538899428726,97.85767052450161,1.430740037950662,0.16508538899428726,2.4079696394687096,0.9981024667931706,29.30362116991631,6.214421252371938,0.9981024667931706,13.838463562220447,6.214421252371938,0.9981024667931706,13.838463562220447,5,ENTRY_OPENED:1|EXIT_FILL:1|TP0_PARTIAL:1|TRAIL_BROKER_FAIL:1|TRAIL_INTERNAL:1,Rubber Band Short (Death Cross),0,0,0,False,True,True,True,False,False,tp 1732.10,tp,CrashBreakoutEntry,WINNER,WINNER_IMMEDIATE_EXECUTION,7.0,9.04,44.7,0.0,0.8,0.5,0.25,YES,0.5,EXECUTED,good,strong_followthrough,bad,trailing_stop_too_tight,trailing,bad_exit,2.5211385199241065
2025,101,2025.03.13 06:00|EngulfingEntry|LONG|112,Bullish Engulfing (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A_PLUS,ASIA,EngulfingEntry,MODE_NONE,DAY_TREND,7.0,0.0,2025.03.13 07:00,2025.03.13 09:09,2945.71,2936.31,2936.39,2976.36,2999.35,9.320000000000164,94.76,0.84,0.1,2.1,LOSS,-94.3,-94.3,-1.0,0.96,0.06,0,0.0,NO,0.0,0,0,0,,none,0.0,RUNNER_EXIT_ENTRY_LOCKED,True,NO,,TRAIL_SEND_RUNNER_POLICY,ENTRY_RUNNER_MODE,3.5,3.5,3.5,,,,64.54154727793696,73.75594403462782,1.0520464465123889,1.1871098085162737,0.0,0.80150214592276,0.0,0.0,1.364806866952793,0.0,5.171673819742379,1.364806866952793,79.12015758371595,6.345493562231635,1.364806866952793,82.29891455608094,0.0,1.1105150214591981,1.343347639484953,0.35622317596567654,20.9595959595968,6.180257510729495,0.35622317596567654,5.449770190413919,7.354077253218751,0.35622317596567654,4.620094628444416,3,ENTRY_OPENED:1|EXIT_FILL:1|RUNNER_MODE_ASSIGNED:1,Bullish Engulfing (Confirmed),0,0,0,False,False,False,False,False,False,sl 2936.39,sl,EngulfingEntry,WINNER,WINNER_IMMEDIATE_EXECUTION,10.0,12.61,36.5,3.0,0.84,0.84,0.84,NO,1.0,EXECUTED,good,strong_followthrough,bad,premature_exit,none,bad_exit,3.666909871244591
2024,47,2024.04.11 16:00|EngulfingEntry|LONG|112,Bullish Engulfing (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A_PLUS,NEWYORK,EngulfingEntry,MODE_NONE,DAY_TREND,7.0,0.0,2024.04.11 17:00,2024.04.11 21:07,2343.38,2360.47,2331.29,2360.2,2372.82,12.090000000000146,85.25,0.84,0.07,4.1,WIN,108.08,108.08,1.27,0.91,1.39,2,39.84,YES,0.01,1,0,0,Chandelier Trail: SL=2332.77 (ATRx3.0),chandelier,0.0,RUNNER_EXIT_ENTRY_LOCKED,True,NO,,TRAIL_SEND_RUNNER_POLICY,RUNNER_WAIT_STEP,3.0,3.0,3.0,,,,27.228526692875615,39.0739295461266,0.41871308939117236,0.8105770844179095,0.2870140612075896,0.9114971050454796,23.947550034505536,1.1447477253928473,0.9114971050454796,55.67176186645162,5.224979321753459,0.9114971050454796,85.1462461248147,7.283705541769966,0.9114971050454796,88.87767460637869,1.4673283705541413,0.9114971050454796,1.4201819685690542,0.04383788254753838,2.9943502824844677,5.870140612076046,1.166253101736951,16.57458563535898,5.870140612076046,2.200992555831212,27.269932363188865,7,ENTRY_OPENED:1|EXIT_FILL:1|RUNNER_MODE_ASSIGNED:1|TP0_PARTIAL:1|TP1_PARTIAL:1|TRAIL_BROKER_SKIP:1|TRAIL_INTERNAL:1,Bullish Engulfing (Confirmed),0,0,0,False,True,False,True,True,False,tp 2360.20,tp,EngulfingEntry,WINNER,WINNER_IMMEDIATE_EXECUTION,10.0,15.38,14.8,-2.0,0.84,0.84,0.84,NO,1.0,EXECUTED,good,strong_followthrough,bad,trailing_stop_too_tight,trailing,bad_exit,2.246720430107489
2025,147,2025.06.24 07:00|PinBarEntry|SHORT|251,Bearish Pin Bar,SHORT,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A,ASIA,PinBarEntry,MODE_NONE,DAY_TREND,7.0,0.0,2025.06.24 07:00,2025.06.24 08:13,3352.46,3342.02,3360.46,3342.06,3338.06,8.0,97.62,0.84,0.12,1.2,WIN,115.26,115.26,1.18,0.13,1.3,1,11.16,YES,0.02,0,0,0,,none,0.0,RUNNER_EXIT_STANDARD,False,NO,,TRAIL_SEND_EVERY_UPDATE,,3.0,3.0,3.0,,,,64.54154727793696,73.75594403462782,-0.33981953590701164,-0.4904056236344632,0.6725000000000136,0.10500000000001819,86.49517684887282,4.550000000000011,0.10500000000001819,97.74436090225527,7.1200000000000045,0.10500000000001819,98.54671280276791,7.1200000000000045,0.10500000000001819,98.54671280276791,1.361249999999984,0.10500000000001819,3.2450000000000045,0.191250000000025,5.565660240087984,5.814999999999998,0.191250000000025,3.184183142560238,5.814999999999998,0.191250000000025,3.184183142560238,3,ENTRY_OPENED:1|EXIT_FILL:1|TP0_PARTIAL:1,Bearish Pin Bar,0,0,0,False,False,False,True,False,False,tp 3342.06,tp,PinBarEntry,WINNER,WINNER_IMMEDIATE_EXECUTION,7.0,22.29,19.3,2.0,0.84,0.84,0.84,NO,1.0,EXECUTED,good,strong_followthrough,bad,take_profit_too_close,none,bad_exit,2.216624999999991
2020,167,2020.12.16 20:00|PinBarEntry|LONG|429,Bullish Pin Bar (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A_PLUS,NEWYORK,PinBarEntry,MODE_NONE,DAY_TREND,11.0,0.0,2020.12.16 21:00,2020.12.16 21:16,1855.78,1846.97,1846.97,1883.44,1904.18,8.809999999999945,86.66,0.84,0.09,0.3,LOSS,-79.56,-79.56,-0.92,1.0,0.18,0,0.0,NO,0.0,0,0,0,,none,0.0,RUNNER_EXIT_STANDARD,False,NO,,TRAIL_SEND_EVERY_UPDATE,,3.5,3.5,3.5,,,,24.546459158301875,41.02850828147815,0.07344443604393165,0.7168828910109639,0.8444948921680023,1.2565266742338257,40.194489465154284,1.1010215664018281,1.2565266742338257,46.70197400096319,4.586833144154408,1.2565266742338257,78.49650349650362,4.586833144154408,1.2565266742338257,78.49650349650362,0.0,1.1362088535754884,2.101021566401828,0.25652667423382575,10.881078478574834,5.586833144154408,0.25652667423382575,4.390054390054371,5.586833144154408,0.25652667423382575,4.390054390054371,2,ENTRY_OPENED:1|EXIT_FILL:1,Bullish Pin Bar (Confirmed),0,0,0,False,False,False,False,False,False,sl 1846.97,sl,PinBarEntry,WINNER,WINNER_IMMEDIATE_EXECUTION,10.0,8.81,43.5,3.0,0.84,0.84,0.84,NO,1.0,EXECUTED,good,strong_followthrough,bad,premature_exit,none,bad_exit,3.301259931895589
2021,178,2021.10.14 16:00|CrashBreakoutEntry|SHORT|505,Rubber Band Short (Death Cross),SHORT,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A_PLUS,NEWYORK,CrashBreakoutEntry,MODE_NONE,DAY_TREND,11.0,0.0,2021.10.14 16:00,2021.10.15 08:23,1799.04,1792.57,1803.99,1792.61,1790.14,4.9500000000000455,49.11,0.45,0.09,16.4,WIN,58.41,58.41,1.19,0.13,1.29,1,3.48,YES,0.01,1,0,1,Chandelier Trail: SL=1798.56 (ATRx3.5),chandelier,0.1,RUNNER_EXIT_STANDARD,False,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.5,3.5,3.5,,,,-4.249189395883854,14.796209672772608,2.129085004428497,2.694648382640073,1.0262626262626022,0.03838383838384905,96.39468690701983,1.0262626262626022,0.06868686868689745,93.7269372693701,6.890909090909007,0.06868686868689745,99.01306240928841,6.890909090909007,0.06868686868689745,99.01306240928841,1.3717171717171517,0.06868686868689745,2.183838383838353,0.16767676767679737,7.1305841924411295,5.583838383838307,0.16767676767679737,2.915349490692497,5.583838383838307,0.16767676767679737,2.915349490692497,5,ENTRY_OPENED:1|EXIT_FILL:1|TP0_PARTIAL:1|TRAIL_BROKER_FAIL:1|TRAIL_INTERNAL:1,Rubber Band Short (Death Cross),0,0,0,False,True,True,True,False,False,tp 1792.61,tp,CrashBreakoutEntry,WINNER,WINNER_IMMEDIATE_EXECUTION,10.0,9.14,41.1,3.0,0.8,0.9,0.45,YES,0.5,EXECUTED,good,strong_followthrough,bad,trailing_stop_too_tight,trailing,bad_exit,2.1243939393938986
2023,36,2023.04.04 10:00|EngulfingEntry|LONG|136,Bullish Engulfing (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A_PLUS,LONDON,EngulfingEntry,MODE_NONE,DAY_TREND,18.0,0.0,2023.04.04 11:00,2023.04.04 11:34,1982.32,1980.66,1973.75,1992.6,1997.23,8.569999999999936,83.7,0.84,0.09,0.6,LOSS,-15.21,-15.21,-0.18,0.19,0.22,0,0.0,NO,0.0,1,1,0,Chandelier Trail: SL=1980.67 (ATRx3.0),chandelier,0.0,RUNNER_EXIT_ENTRY_LOCKED,True,NO,,TRAIL_SEND_RUNNER_POLICY,RUNNER_LOCK_STEP_R1,3.0,3.0,3.0,2023.04.04 11:01,,,12.925866514833823,18.618503533946136,1.0895501080882715,0.676344692065133,0.22987164527421727,0.2427071178529688,48.6419753086432,0.2392065344224002,0.45040840140022503,34.68697123519467,5.3698949824971205,0.45040840140022503,92.26142742582215,5.82730455075851,0.45040840140022503,92.8252788104091,0.22987164527421727,0.2053675612602105,0.589264877479579,0.25670945157526975,30.344827586207522,5.5635939323220756,0.25670945157526975,4.410585404972034,6.021003500583465,0.25670945157526975,4.089219330855107,5,ENTRY_OPENED:1|EXIT_FILL:1|RUNNER_MODE_ASSIGNED:1|TRAIL_BROKER_OK:1|TRAIL_INTERNAL:1,Bullish Engulfing (Confirmed),0,0,0,False,True,False,False,False,False,sl 1980.67,sl,EngulfingEntry,WINNER,WINNER_IMMEDIATE_EXECUTION,10.0,10.61,18.3,3.0,0.84,0.84,0.84,NO,1.0,EXECUTED,good,strong_followthrough,bad,trailing_stop_too_tight,trailing,bad_exit,2.320373395565939
2024,154,2024.09.12 11:00|MACrossEntry|LONG|303,Bullish MA Cross (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A,LONDON,MACrossEntry,MODE_NONE,DAY_TREND,7.0,0.0,2024.09.12 12:00,2024.09.12 15:45,2517.49,2532.75,2510.23,2532.51,2542.53,7.2599999999997635,92.06,0.92,0.12,3.8,WIN,155.48,155.48,1.69,0.61,2.03,2,48.87,YES,0.01,1,1,0,Chandelier Trail: SL=2512.24 (ATRx3.5),chandelier,0.0,RUNNER_EXIT_ENTRY_LOCKED,True,NO,,TRAIL_SEND_RUNNER_POLICY,RUNNER_H1_CADENCE,3.5,3.5,3.5,2024.09.12 12:01,,,27.228526692875615,39.0739295461266,-0.260274298210175,0.9964498465611709,0.22176308539947379,0.16666666666661448,57.09219858157069,2.431129476584114,0.6322314049586557,79.36151079136809,7.3636363636366085,0.6322314049586557,92.09302325581444,9.42561983471109,0.6322314049586557,93.71405094494702,2.1157024793389296,0.6322314049586557,3.073002754821029,1.4738292011019514,32.41441987276551,5.519283746556676,1.4738292011019514,21.075438250935242,7.323691460055345,1.4738292011019514,16.752779082511093,7,ENTRY_OPENED:1|EXIT_FILL:1|RUNNER_MODE_ASSIGNED:1|TP0_PARTIAL:1|TP1_PARTIAL:1|TRAIL_BROKER_OK:1|TRAIL_INTERNAL:1,Bullish MA Cross (Confirmed),0,0,0,False,True,False,True,True,False,tp 2532.51,tp,MACrossEntry,WINNER,WINNER_IMMEDIATE_EXECUTION,7.0,9.74,29.0,-2.0,0.92,0.92,0.92,NO,1.0,EXECUTED,good,strong_followthrough,bad,trailing_stop_too_tight,trailing,bad_exit,2.2205647382921354
2024,213,2024.11.28 05:00|FailedBreakReversal|LONG|417,S6: Failed Break Long,LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A,ASIA,FailedBreakReversal,MODE_NONE,DAY_TREND,7.0,0.0,2024.11.28 06:00,2024.11.28 08:00,2630.39,2633.5,2624.63,2643.64,2653.58,5.7599999999997635,43.84,0.4,0.07,2.0,WIN,11.3,11.3,0.26,0.17,0.64,2,8.22,NO,0.0,2,0,2,Chandelier Trail: SL=2637.38 (ATRx3.5),chandelier,1.21,RUNNER_EXIT_STANDARD,False,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.5,3.5,3.5,,ANTI_STALL_CLOSE,ANTI_STALL_CLOSE,27.228526692875615,39.0739295461266,-0.2578893275535853,-1.561546724756813,0.628472222222308,0.18229166666662677,77.51605995717964,1.5989583333334052,0.18229166666662677,89.76608187134745,5.621527777778027,0.18229166666662677,96.859108585104,6.246527777778037,0.18229166666662677,97.16446124763777,0.628472222222308,0.18229166666662677,2.503472222222338,0.28472222222221183,10.211706102116302,5.343750000000254,0.28472222222221183,5.05860579888917,5.706597222222437,0.28472222222221183,4.752245725876221,10,ANTI_STALL_PARTIAL:2|ENTRY_OPENED:1|EXIT_FILL:1|EXIT_REQUEST:1|EXIT_TRIGGER:1|TRAIL_BROKER_FAIL:2|TRAIL_INTERNAL:2,ANTI_STALL_CLOSE,2,1,1,False,True,True,False,False,False,,blank,FailedBreakReversal,WINNER,WINNER_IMMEDIATE_EXECUTION,7.0,14.82,21.1,2.0,0.8,0.8,0.4,YES,0.5,EXECUTED,good,strong_followthrough,bad,anti_stall_exit_left_large_move,trailing,bad_exit,2.1217361111112556
2021,36,2021.04.08 15:00|CrashBreakoutEntry|SHORT|149,Rubber Band Short (Death Cross),SHORT,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A_PLUS,NEWYORK,CrashBreakoutEntry,MODE_NONE,DAY_TREND,19.0,0.0,2021.04.08 15:00,2021.04.08 16:31,1749.6,1754.43,1754.42,1743.33,1740.92,4.820000000000164,26.1,0.25,0.05,1.5,LOSS,-24.3,-24.3,-0.93,1.0,0.67,0,0.0,NO,0.0,1,0,1,Chandelier Trail: SL=1744.65 (ATRx3.5),chandelier,1.03,RUNNER_EXIT_STANDARD,False,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.5,3.5,3.5,,,,-4.249189395883854,14.796209672772608,0.9508643172009519,1.416647345235338,0.6742738589211389,0.1265560165975325,84.19689119170707,0.6742738589211389,1.8796680497925031,26.401299756295323,1.2738589211617561,1.8796680497925031,40.39473684210431,3.804979253111887,1.8796680497925031,66.93430656934254,0.6742738589211389,0.9605809128630606,0.3526970954356821,0.8775933609958246,71.332209106239,4.807053941908565,0.8775933609958246,15.437956204379578,4.807053941908565,0.8775933609958246,15.437956204379578,4,ENTRY_OPENED:1|EXIT_FILL:1|TRAIL_BROKER_FAIL:1|TRAIL_INTERNAL:1,Rubber Band Short (Death Cross),0,0,0,False,True,True,False,False,False,sl 1754.42,sl,CrashBreakoutEntry,WINNER,WINNER_IMMEDIATE_EXECUTION,10.0,7.35,29.0,2.0,0.8,0.5,0.25,YES,0.5,EXECUTED,bad,countertrend_short_vs_recent_uptrend,bad,trailing_stop_too_tight,trailing,bad_entry_bad_exit,3.869626556016499
2025,88,2025.02.27 06:00|PinBarEntry|SHORT|92,Bearish Pin Bar,SHORT,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_B_PLUS,ASIA,PinBarEntry,MODE_NONE,DAY_TREND,7.0,0.0,2025.02.27 06:00,2025.02.27 07:03,2905.76,2895.36,2913.76,2895.36,2891.36,8.0,88.06,0.79,0.11,1.1,WIN,109.29,109.29,1.24,0.09,1.28,1,5.59,YES,0.01,2,2,0,Chandelier Trail: SL=2908.56 (ATRx3.0),chandelier,0.0,RUNNER_EXIT_STANDARD,False,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.0,3.0,3.5,2025.02.27 07:00,,,64.54154727793696,73.75594403462782,-0.40753651204958735,-1.2029839987487372,1.1800000000000068,0.09624999999999773,92.45837414299727,2.2312500000000455,0.09624999999999773,95.86466165413552,5.252500000000055,0.09624999999999773,98.20051413881754,9.148750000000007,0.09624999999999773,98.95889670091944,1.5687500000000227,0.09624999999999773,1.8950000000000387,0.38624999999996135,16.931506849313376,4.797500000000014,0.38624999999996135,7.451169520134328,7.8487499999999955,0.38624999999996135,4.690346083788262,7,ENTRY_OPENED:1|EXIT_FILL:1|TP0_PARTIAL:1|TRAIL_BROKER_OK:2|TRAIL_INTERNAL:2,EVERY_UPDATE,0,0,0,False,True,False,True,False,False,tp 2895.36,tp,PinBarEntry,WINNER,WINNER_IMMEDIATE_EXECUTION,5.0,16.36,28.7,2.0,0.63,0.79,0.79,NO,1.0,EXECUTED,good,strong_followthrough,bad,trailing_stop_too_tight,trailing,bad_exit,1.883375000000017
2025,43,2025.01.29 16:00|PinBarEntry|LONG|39,Bullish Pin Bar (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A_PLUS,NEWYORK,PinBarEntry,MODE_NONE,DAY_TREND,7.0,0.0,2025.01.29 17:00,2025.01.29 17:28,2759.39,2750.73,2750.75,2780.26,2795.9,8.639999999999873,88.63,0.84,0.1,0.5,LOSS,-86.9,-86.9,-0.98,0.99,0.04,0,0.0,NO,0.0,0,0,0,,none,0.0,RUNNER_EXIT_STANDARD,False,NO,,TRAIL_SEND_EVERY_UPDATE,,3.5,3.5,3.5,,,,64.54154727793696,73.75594403462782,0.17289224018946298,-0.489269271291871,0.0,1.2581018518518579,0.0,0.0,1.51157407407409,0.0,3.4467592592593332,1.6932870370370219,67.05696915109277,6.252314814814905,1.6932870370370219,78.68900218499675,0.0,1.0474537037036875,0.6388888888888962,0.6909722222222092,51.958224543080185,4.681712962963011,0.6909722222222092,12.860835846617512,7.696759259259372,0.6909722222222092,8.237891541327192,2,ENTRY_OPENED:1|EXIT_FILL:1,Bullish Pin Bar (Confirmed),0,0,0,False,False,False,False,False,False,sl 2750.75,sl,PinBarEntry,WINNER,WINNER_IMMEDIATE_EXECUTION,10.0,9.67,21.8,-1.0,0.84,0.84,0.84,NO,1.0,EXECUTED,good,strong_followthrough,bad,premature_exit,none,bad_exit,3.3659722222222266
